ltf,order,closed,slow_ema,expected_profit,actual_profit,price,ask,name,symbol,htf,volume,deal,lcc,hcc,fast_ema,win,date,bid
TIMEFRAME_M1,887418483,False,20,0,0,213905.69,213905.69,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,190114228,100,100,8,False,2024-05-01 02:15:00.000000,213854.15
TIMEFRAME_M1,833648793,False,20,0,0,1537.99,1537.99,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,156850161,100,100,8,False,2024-05-01 02:15:00.000000,1537.54
TIMEFRAME_M1,843235603,False,20,0,0,1537.17,1537.62,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,126448099,100,100,8,False,2024-05-01 02:20:00.000000,1537.17
TIMEFRAME_M1,807014723,False,20,0,0,6265.013,6265.013,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,114345720,100,100,8,False,2024-05-01 02:20:00.000000,6264.839
TIMEFRAME_M1,840631087,False,20,0,0,214120.19,214120.19,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,118702907,100,100,8,False,2024-05-01 02:20:00.000000,214068.65
TIMEFRAME_M1,843811533,False,20,0,0,2207.658,2207.81,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,181440065,100,100,8,False,2024-05-01 02:20:00.000000,2207.658
TIMEFRAME_M1,859615738,False,20,0,0,1537.17,1537.62,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,121354830,100,100,8,False,2024-05-01 02:20:00.000000,1537.17
TIMEFRAME_M1,893453483,False,20,0,0,214068.65,214120.19,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,141394012,100,100,8,False,2024-05-01 02:20:00.000000,214068.65
TIMEFRAME_M1,836656715,False,20,0,0,2207.658,2207.81,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,162224458,100,100,8,False,2024-05-01 02:20:00.000000,2207.658
TIMEFRAME_M1,841760836,False,20,0,0,6263.501,6263.501,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,132536727,100,100,8,False,2024-05-01 02:25:00.000000,6263.327
